                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.91103,                 1.2694,                 1.2204,                0.54145,                0.38895,                 0.4056,                0.31372,                  1.027,                 1.7566,                 1.3218,               0.004159,               0.004159,               0.004159
                     61,                0.91577,                 1.2721,                  1.225,                0.55263,                0.38179,                0.40448,                0.31381,                 1.0223,                 1.7524,                 1.3171,                0.00406,                0.00406,                0.00406
                     62,                0.91531,                 1.2682,                 1.2236,                0.55467,                0.38814,                0.40185,                0.31011,                 1.0198,                 1.7749,                 1.3186,               0.003961,               0.003961,               0.003961
                     63,                0.90947,                 1.2542,                 1.2126,                0.58762,                0.37855,                0.40288,                0.30943,                 1.0311,                 1.7752,                 1.3261,               0.003862,               0.003862,               0.003862
                     64,                0.91379,                 1.2647,                 1.2215,                0.48674,                0.38592,                0.39024,                0.30174,                 1.0156,                 1.7721,                 1.3079,               0.003763,               0.003763,               0.003763
                     65,                0.89664,                 1.2315,                 1.2118,                0.60082,                0.36347,                0.40882,                0.31363,                 1.0289,                 1.7707,                 1.3259,               0.003664,               0.003664,               0.003664
                     66,                  0.902,                 1.2192,                 1.2127,                0.56263,                 0.3919,                0.40294,                0.31487,                 1.0319,                 1.8093,                 1.3322,               0.003565,               0.003565,               0.003565
                     67,                0.88534,                 1.2373,                  1.205,                0.57398,                0.36767,                0.39912,                0.30737,                 1.0397,                 1.8135,                 1.3262,               0.003466,               0.003466,               0.003466
                     68,                0.87785,                 1.2119,                 1.1987,                0.56483,                0.36311,                0.39886,                0.30739,                 1.0299,                  1.794,                   1.33,               0.003367,               0.003367,               0.003367
                     69,                0.89133,                 1.2182,                 1.2114,                 0.5227,                0.38482,                0.40161,                0.30968,                 1.0083,                 1.7657,                 1.3064,               0.003268,               0.003268,               0.003268
                     70,                0.87847,                 1.1945,                 1.2042,                0.51731,                0.39587,                 0.3997,                0.31064,                  1.014,                 1.7832,                 1.3162,               0.003169,               0.003169,               0.003169
                     71,                0.87624,                 1.1927,                 1.1955,                 0.5844,                0.36555,                0.39998,                 0.3093,                  1.017,                 1.7496,                 1.3134,                0.00307,                0.00307,                0.00307
                     72,                0.87084,                 1.1718,                 1.1941,                0.58849,                0.36818,                 0.4061,                0.31048,                 1.0184,                 1.7648,                  1.315,               0.002971,               0.002971,               0.002971
                     73,                 0.8777,                 1.1858,                 1.1935,                0.56636,                0.38905,                0.41239,                0.32133,                 1.0078,                  1.756,                 1.3095,               0.002872,               0.002872,               0.002872
                     74,                0.87018,                 1.1691,                 1.1937,                0.55488,                0.38601,                0.40841,                0.31929,                 1.0213,                 1.7532,                 1.3185,               0.002773,               0.002773,               0.002773
                     75,                0.86747,                 1.1643,                 1.1881,                0.57919,                0.38524,                0.41541,                0.32091,                 1.0011,                 1.7357,                 1.3086,               0.002674,               0.002674,               0.002674
                     76,                0.85242,                 1.1383,                  1.181,                0.60003,                0.36804,                0.41338,                0.32261,                 1.0131,                 1.7546,                  1.315,               0.002575,               0.002575,               0.002575
