                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.45237,                0.43247,                 1.0329,                0.66255,                0.47754,                 0.5189,                0.44173,                0.79643,                  1.739,                 1.4034,              0.0032278,              0.0032278,              0.0032278
                    126,                0.45025,                0.43561,                 1.0314,                0.64728,                 0.4917,                0.52012,                 0.4407,                0.80596,                 1.7433,                 1.4178,              0.0031557,              0.0031557,              0.0031557
                    127,                0.44742,                0.43239,                 1.0279,                0.69901,                 0.4648,                0.51749,                0.43928,                0.81279,                 1.7364,                 1.4238,              0.0030841,              0.0030841,              0.0030841
                    128,                0.44687,                0.42752,                 1.0254,                 0.6692,                0.48064,                0.51844,                 0.4385,                0.81309,                 1.7464,                 1.4259,               0.003013,               0.003013,               0.003013
                    129,                0.44703,                0.42724,                 1.0272,                0.68551,                0.47057,                0.52088,                0.43981,                0.81272,                 1.7642,                  1.424,              0.0029424,              0.0029424,              0.0029424
                    130,                0.44241,                0.42574,                 1.0215,                0.66907,                0.49078,                0.52367,                0.44005,                0.80999,                  1.753,                 1.4229,              0.0028723,              0.0028723,              0.0028723
                    131,                0.44171,                0.41392,                 1.0199,                0.69696,                0.47053,                0.52274,                0.44191,                0.81075,                 1.7426,                  1.425,              0.0028027,              0.0028027,              0.0028027
                    132,                0.43997,                0.41741,                 1.0228,                0.69887,                 0.4649,                0.51907,                0.43924,                0.80779,                 1.7349,                 1.4241,              0.0027337,              0.0027337,              0.0027337
                    133,                0.43938,                 0.4127,                 1.0192,                0.66983,                0.47648,                0.51896,                0.43862,                0.80038,                 1.7235,                 1.4207,              0.0026653,              0.0026653,              0.0026653
                    134,                0.43828,                0.41989,                 1.0228,                 0.6861,                0.46761,                0.52058,                0.43986,                0.80025,                 1.7179,                 1.4156,              0.0025975,              0.0025975,              0.0025975
                    135,                0.43587,                0.41143,                 1.0209,                0.65534,                 0.4837,                0.52121,                0.43985,                0.80331,                  1.721,                 1.4215,              0.0025302,              0.0025302,              0.0025302
                    136,                0.43419,                0.41421,                 1.0231,                0.73098,                0.45195,                0.52151,                0.43935,                0.80777,                 1.7295,                 1.4274,              0.0024636,              0.0024636,              0.0024636
                    137,                0.43232,                0.40489,                 1.0164,                0.71994,                0.45811,                0.52342,                 0.4417,                0.81576,                 1.7288,                  1.436,              0.0023977,              0.0023977,              0.0023977
                    138,                0.42616,                0.39809,                 1.0133,                 0.6875,                 0.4738,                0.52293,                0.44114,                0.81034,                 1.7295,                 1.4305,              0.0023323,              0.0023323,              0.0023323
                    139,                0.42601,                0.40271,                 1.0142,                0.64088,                0.48717,                0.52254,                 0.4436,                0.81431,                 1.7326,                 1.4322,              0.0022677,              0.0022677,              0.0022677
                    140,                0.42836,                0.40274,                 1.0157,                0.62297,                0.50202,                0.52507,                0.44701,                0.80571,                 1.7307,                 1.4232,              0.0022037,              0.0022037,              0.0022037
                    141,                 0.4235,                0.39414,                 1.0122,                0.66232,                0.48966,                0.52726,                0.44787,                0.80586,                 1.7283,                  1.421,              0.0021405,              0.0021405,              0.0021405
                    142,                0.41756,                0.38601,                 1.0019,                0.67786,                0.48402,                0.52793,                0.44739,                0.80694,                 1.7299,                 1.4231,              0.0020779,              0.0020779,              0.0020779
                    143,                  0.416,                0.38771,                  1.002,                0.65782,                0.48628,                0.52258,                  0.443,                0.81561,                 1.7385,                 1.4313,              0.0020161,              0.0020161,              0.0020161
                    144,                0.41358,                0.38158,                 1.0011,                0.67111,                0.47672,                0.52381,                0.44299,                0.81713,                 1.7407,                 1.4346,               0.001955,               0.001955,               0.001955
                    145,                0.41188,                0.38421,                 1.0048,                0.68968,                0.46917,                0.52387,                0.44201,                0.81886,                 1.7462,                 1.4391,              0.0018948,              0.0018948,              0.0018948
                    146,                0.41258,                0.37691,                0.99985,                0.67612,                0.47968,                0.52659,                0.44333,                0.81765,                 1.7397,                 1.4405,              0.0018352,              0.0018352,              0.0018352
                    147,                 0.4099,                0.37488,                0.99773,                0.66321,                0.48763,                0.52302,                0.44227,                0.81907,                 1.7343,                 1.4496,              0.0017765,              0.0017765,              0.0017765
                    148,                0.40646,                0.37521,                 1.0003,                0.66976,                0.48773,                0.52326,                 0.4419,                0.81446,                  1.731,                 1.4472,              0.0017186,              0.0017186,              0.0017186
                    149,                0.40117,                0.36603,                0.99186,                0.67496,                0.49049,                 0.5257,                0.44543,                 0.8127,                 1.7344,                 1.4454,              0.0016615,              0.0016615,              0.0016615
                    150,                0.40337,                0.37037,                0.99931,                0.68691,                0.48975,                0.52584,                0.44561,                0.80561,                 1.7384,                 1.4366,              0.0016052,              0.0016052,              0.0016052
                    151,                0.40533,                0.37312,                0.99994,                0.66875,                0.49527,                0.52515,                0.44624,                 0.8016,                 1.7494,                 1.4324,              0.0015498,              0.0015498,              0.0015498
